,,,LHV (MJ/kg),Price (£/tonne),Boiler Efficiency,kgCO2e/MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021 Prices and Emission factors,Natural Gas,42,292,0.9,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Blue Hydrogen,120,1800,0.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,INCENTIVES,,,,,,,,,,,,,,,,,,,
Technology,PLANT,CO2 Emissions from natural gas combustion (kg/yr),Price of steam produced from Natural gas combustion (£/MWh),Thermal Energy required from fuel (MJ/year),Market Occupancy,,Hydrogen fuel required (kg/year) ,Hydrogen fuel required (tonne/year) ,Hydrogen output (MWh/year),Hydrogen operating cost (£/year),CO2 Emissions from Hydrogen (kg/year),Price of steam produced from Hydrogen combustion (£/MWh),,Renewable hydrogen incentive (£/MWh),CONSTRAINT 4,Impact of incentive (£/MWh),CONSTRAINT 3,Market Share,CONSTRAINT 2,NEW HYDROGEN DEMAND,,CUMULATIVE HYDROGEN DEMAND,A,152705.3923,t/yr,,,,,,0.01,,0.154294933
,,,,,,,,,,,,,,,,,,58.95%,<=,,,INITIAL HYDROGEN DEMAND,Ao,96071.958,t/yr,,,,,,0.02,,0.33456489
Boiler 69,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 70,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 71,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 72,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 73,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 74,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 75,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 76,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 77,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 78,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 79,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 80,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 81,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 82,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 83,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 84,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 85,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 86,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 87,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 88,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 89,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,32,<=,0,=<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 90,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 91,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 92,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 93,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 94,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 95,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 96,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 97,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 98,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0.000695135,=<=,66.783,,,,,,,,,,,,,
Boiler 99,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 100,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 101,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 102,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 103,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 104,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 105,UK Chemical Industry…,"445,220",28,"8,013,960",0.000695135,,66783,66.783,2003.49,120209.4,40069.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 106,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 107,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 108,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 109,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 110,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
Boiler 111,UK Chemical Industry…,"1,024,520",28,"18,441,360",0.001599613,,153678,153.678,4610.34,276620.4,92206.8,60,,41,<=,-9,<=,0,<=,0,,,,,,,,,,,,,
